"filename", "language", "Properties", "JavaScript", "PHP", "YAML", "Markdown", "JSON", "HTML (Twig)", "SCSS", "CSS", "HTML", "XML", "comment", "blank", "total"
"d:\Expace_Development\Mes_projets\expace-dev\src\Controller\HomeController.php", "PHP", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 80
"d:\Expace_Development\Mes_projets\expace-dev\src\Controller\ProfilController.php", "PHP", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 48
"d:\Expace_Development\Mes_projets\expace-dev\src\Controller\RegistrationController.php", "PHP", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22, 103
"d:\Expace_Development\Mes_projets\expace-dev\src\Controller\ResetPasswordController.php", "PHP", 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 23, 32, 182
"d:\Expace_Development\Mes_projets\expace-dev\src\Controller\SecurityController.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 33
"d:\Expace_Development\Mes_projets\expace-dev\src\DataFixtures\AppFixtures.php", "PHP", 0, 0, 239, 0, 0, 0, 0, 0, 0, 0, 0, 40, 110, 389
"d:\Expace_Development\Mes_projets\expace-dev\src\Entity\Activites.php", "PHP", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 82
"d:\Expace_Development\Mes_projets\expace-dev\src\Entity\Articles.php", "PHP", 0, 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 9, 41, 189
"d:\Expace_Development\Mes_projets\expace-dev\src\Entity\Categories.php", "PHP", 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 13, 31, 156
"d:\Expace_Development\Mes_projets\expace-dev\src\Entity\Comments.php", "PHP", 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37, 155
"d:\Expace_Development\Mes_projets\expace-dev\src\Entity\Contact.php", "PHP", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 60
"d:\Expace_Development\Mes_projets\expace-dev\src\Entity\Devis.php", "PHP", 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 167
"d:\Expace_Development\Mes_projets\expace-dev\src\Entity\DocsMessages.php", "PHP", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 68
"d:\Expace_Development\Mes_projets\expace-dev\src\Entity\Factures.php", "PHP", 0, 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 1, 47, 186
"d:\Expace_Development\Mes_projets\expace-dev\src\Entity\ImagesPortfolios.php", "PHP", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 52
"d:\Expace_Development\Mes_projets\expace-dev\src\Entity\Messages.php", "PHP", 0, 0, 151, 0, 0, 0, 0, 0, 0, 0, 0, 8, 46, 205
"d:\Expace_Development\Mes_projets\expace-dev\src\Entity\Notifications.php", "PHP", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 99
"d:\Expace_Development\Mes_projets\expace-dev\src\Entity\Paiements.php", "PHP", 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 114
"d:\Expace_Development\Mes_projets\expace-dev\src\Entity\Portfolios.php", "PHP", 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28, 125
"d:\Expace_Development\Mes_projets\expace-dev\src\Entity\Projets.php", "PHP", 0, 0, 195, 0, 0, 0, 0, 0, 0, 0, 0, 17, 57, 269
"d:\Expace_Development\Mes_projets\expace-dev\src\Entity\ResetPasswordRequest.php", "PHP", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 40
"d:\Expace_Development\Mes_projets\expace-dev\src\Entity\Temoignages.php", "PHP", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 98
"d:\Expace_Development\Mes_projets\expace-dev\src\Entity\Users.php", "PHP", 0, 0, 471, 0, 0, 0, 0, 0, 0, 0, 0, 48, 150, 669
"d:\Expace_Development\Mes_projets\expace-dev\src\Form\Admin\ActivitesType.php", "PHP", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 42
"d:\Expace_Development\Mes_projets\expace-dev\src\Form\Admin\MessagesType.php", "PHP", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 96
"d:\Expace_Development\Mes_projets\expace-dev\src\Form\Admin\ProjetsType.php", "PHP", 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 114
"d:\Expace_Development\Mes_projets\expace-dev\src\Form\Admin\TemoignagesType.php", "PHP", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 42
"d:\Expace_Development\Mes_projets\expace-dev\src\Form\Blog\Admin\ArticlesType.php", "PHP", 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 94
"d:\Expace_Development\Mes_projets\expace-dev\src\Form\Blog\Admin\CategoriesType.php", "PHP", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 50
"d:\Expace_Development\Mes_projets\expace-dev\src\Form\Blog\Admin\CommentsType.php", "PHP", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 39
"d:\Expace_Development\Mes_projets\expace-dev\src\Form\Blog\Client\ChercheType.php", "PHP", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 32
"d:\Expace_Development\Mes_projets\expace-dev\src\Form\ChangePasswordFormType.php", "PHP", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 56
"d:\Expace_Development\Mes_projets\expace-dev\src\Form\Client\Articles\CommentType.php", "PHP", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 36
"d:\Expace_Development\Mes_projets\expace-dev\src\Form\Client\MessagesType.php", "PHP", 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 88
"d:\Expace_Development\Mes_projets\expace-dev\src\Form\Client\ProjetsType.php", "PHP", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 62
"d:\Expace_Development\Mes_projets\expace-dev\src\Form\Client\TemoignagesType.php", "PHP", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 51
"d:\Expace_Development\Mes_projets\expace-dev\src\Form\ContactType.php", "PHP", 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 99
"d:\Expace_Development\Mes_projets\expace-dev\src\Form\CredentialsType.php", "PHP", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 64
"d:\Expace_Development\Mes_projets\expace-dev\src\Form\DevisAutocompleteField.php", "PHP", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 34
"d:\Expace_Development\Mes_projets\expace-dev\src\Form\DevisType.php", "PHP", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 41
"d:\Expace_Development\Mes_projets\expace-dev\src\Form\FacturesType.php", "PHP", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 34
"d:\Expace_Development\Mes_projets\expace-dev\src\Form\PortfoliosType.php", "PHP", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 62
